-39148	-39148.000000	0.045094	0.047404	0.033187
-38905	-38905.000000	0.045094	0.047435	0.033208
-38786	-38786.000000	0.045094	0.047559	0.033291
-38493	-38493.000000	0.045317	0.047620	0.033339
-38407	-38407.000000	0.045317	0.047977	0.033578
-38297	-38297.000000	0.045317	0.048081	0.033647
-38215	-38215.000000	0.045317	0.048081	0.033647
-38125	-38125.000000	0.045317	0.048081	0.033647
-38063	-38063.000000	0.045317	0.048107	0.033664
-38006	-38006.000000	0.045317	0.048107	0.033664
-37976	-37976.000000	0.045317	0.048107	0.033664
-37881	-37881.000000	0.045317	0.048107	0.033664
-37864	-37864.000000	0.045317	0.048107	0.033664
-37853	-37853.000000	0.045317	0.048107	0.033664
-37822	-37822.000000	0.045317	0.048107	0.033664
-37804	-37804.000000	0.045542	0.048107	0.033672
-37684	-37684.000000	0.045542	0.048107	0.033672
-37570	-37570.000000	0.045542	0.048107	0.033672
-37354	-37354.000000	0.045542	0.048112	0.033675
-37271	-37271.000000	0.045542	0.048531	0.033956
-36208	-36208.000000	0.045542	0.048531	0.033956
-36032	-36032.000000	0.045542	0.048531	0.033956
-35951	-35951.000000	0.045542	0.048531	0.033956
-35894	-35894.000000	0.045542	0.048533	0.033956
-35806	-35806.000000	0.045542	0.048533	0.033956
-35798	-35798.000000	0.045542	0.048573	0.033983
-35712	-35712.000000	0.045542	0.048573	0.033983
-35630	-35630.000000	0.045542	0.048873	0.034184
-35621	-35621.000000	0.045542	0.048873	0.034184
-35324	-35324.000000	0.045542	0.048891	0.034196
-35293	-35293.000000	0.045542	0.048891	0.034196
-35117	-35117.000000	0.045542	0.048891	0.034196
-34635	-34635.000000	0.045542	0.048891	0.034196
-34325	-34325.000000	0.045542	0.048891	0.034196
-34227	-34227.000000	0.045542	0.048911	0.034209
-34171	-34171.000000	0.045542	0.048951	0.034236
-33926	-33926.000000	0.045574	0.048951	0.034237
-33708	-33708.000000	0.045574	0.049003	0.034272
-33419	-33419.000000	0.045574	0.049003	0.034272
-33368	-33368.000000	0.045574	0.049003	0.034272
-33332	-33332.000000	0.045574	0.049003	0.034272
-33212	-33212.000000	0.046029	0.050696	0.035419
-33171	-33171.000000	0.046029	0.050696	0.035419
-32952	-32952.000000	0.046029	0.050696	0.035419
-32931	-32931.000000	0.046029	0.050699	0.035421
-32780	-32780.000000	0.046029	0.050699	0.035421
-32301	-32301.000000	0.046029	0.050737	0.035446
-32164	-32164.000000	0.046029	0.050854	0.035525
-31391	-31391.000000	0.046504	0.051344	0.035868
-31293	-31293.000000	0.046504	0.051344	0.035868
-31220	-31220.000000	0.046504	0.051344	0.035868
-31134	-31134.000000	0.047069	0.051377	0.035909
-30972	-30972.000000	0.047069	0.051377	0.035909
-30824	-30824.000000	0.047069	0.051377	0.035909
-30815	-30815.000000	0.047577	0.052467	0.036654
-30766	-30766.000000	0.047577	0.052467	0.036654
-30765	-30765.000000	0.047577	0.052467	0.036654
-30734	-30734.000000	0.047586	0.052467	0.036654
-30722	-30722.000000	0.047586	0.052467	0.036654
-30452	-30452.000000	0.047586	0.052467	0.036654
-29866	-29866.000000	0.047586	0.052629	0.036762
-29742	-29742.000000	0.047586	0.052629	0.036762
-29637	-29637.000000	0.047586	0.052629	0.036762
