Locus57	32824	0.06	0.0191102	0.0123288	0.190344
Locus74	45318	0.04	0.0294624	0.0119341	0.39248
Locus75	45364	0.04	0.0294624	0.0119341	0.39248
Locus77	46697	0.04	0.0204293	0.012286	0.220841
Locus80	50994	0.06	0.0975011	0.0107832	0.956264
Locus85	55425	0.04	0.0294624	0.0118915	0.394031
Locus92	58688	0.06	0.0515063	0.0109221	0.673555
Locus103	66158	0.04	0.238572	0.0111978	1.32848
Locus115	73464	0.04	0.11778	0.00734119	1.20531
Locus118	74986	0.04	0.11778	0.00706158	1.22217
Locus119	75541	0.96	0.00706158	0.11778	-1.22217
Locus122	76778	0.96	0.00678158	0.11778	-1.23974
Locus124	76930	0.96	0.00720198	0.11778	-1.21362
Locus125	77940	0.04	0.0640746	0.0068039	0.973928
Locus128	80698	0.06	0.0448151	0.00745514	0.778969
Locus137	85005	0.1	0.0444761	0.00674995	0.818826
Locus140	85924	0.08	0.0706594	0.00684164	1.01401
Locus143	87763	0.56	0.0116337	0.0177392	-0.183218
Locus147	90806	0.18	0.0313803	0.00776083	0.606749
Locus151	93083	0.14	0.0366725	0.0088309	0.618335
Locus163	97595	0.1	0.0566604	0.0101931	0.744974
Locus165	100097	0.04	0.238572	0.00935062	1.40678
Locus174	103251	0.1	0.0566604	0.00983094	0.760684
Locus180	106107	0.1	0.0566604	0.00992981	0.756339
Locus181	106131	0.1	0.0566604	0.00992981	0.756339
Locus182	106132	0.1	0.0566604	0.00992981	0.756339
Locus187	108046	0.04	0.115272	0.00868371	1.12302
Locus188	108585	0.3	0.0173038	0.0149585	0.0632532
Locus191	110837	0.42	0.0311665	0.00930783	0.524839
Locus192	110962	0.06	0.0750664	0.00829304	0.956732
Locus193	111206	0.3	0.0197555	0.0136125	0.161749
Locus196	113832	0.4	0.0172445	0.018222	-0.0239441
Locus198	114426	0.6	0.0176632	0.0172445	0.0104173
Locus199	115777	0.44	0.0280447	0.0120426	0.367131
Locus201	117099	0.08	0.0671617	0.010282	0.815044
Locus206	118069	0.04	0.0383294	0.010038	0.581887
Locus208	119263	0.18	0.0393133	0.0129144	0.483465
Locus209	119585	0.82	0.0129144	0.0393133	-0.483465
Locus210	119822	0.04	0.00429907	0.0101889	-0.374753
Locus211	121218	0.08	0.0671617	0.0110379	0.784234
Locus212	121358	0.82	0.0131228	0.0428396	-0.51382
Locus215	124534	0.22	0.0341996	0.011546	0.471591
Locus217	125130	0.22	0.0319212	0.011546	0.441649
Locus218	125159	0.64	0.0148927	0.0216822	-0.163131
Locus219	125327	0.64	0.0148927	0.0216822	-0.163131
Locus220	125545	0.36	0.0269534	0.00850179	0.501103
Locus221	125709	0.36	0.0216822	0.0123029	0.246095
Locus224	126693	0.04	0.0383294	0.00981058	0.591838
Locus225	128930	0.12	0.0429692	0.0103775	0.617066
Locus226	129366	0.06	0.0472022	0.00922511	0.70899
Locus229	130687	0.48	0.0133905	0.0191495	-0.15536
Locus230	131982	0.2	0.0372723	0.00994216	0.573905
Locus231	132647	0.44	0.0262642	0.0101171	0.41431
Locus232	132892	0.44	0.0262642	0.0101171	0.41431
Locus233	132949	0.14	0.0384563	0.00851443	0.654812
Locus236	133348	0.44	0.0243771	0.00939925	0.413889
Locus237	133668	0.44	0.0243771	0.00939925	0.413889
Locus238	133761	0.14	0.0384563	0.00844594	0.658319
Locus241	135157	0.32	0.0371884	0.00820394	0.656385
Locus246	137968	0.08	0.0641191	0.0097894	0.816231
Locus247	139879	0.08	0.0349775	0.00954661	0.563939
Locus250	140855	0.04	0.137432	0.00795033	1.2377
Locus252	141970	0.42	0.0250014	0.00850412	0.468336
Locus253	142181	0.14	0.0394406	0.0086575	0.658551
