Locus188	108585	0.3	0.043515	0.0223583	0.2892	0.0158726	0.0276425	0.0102955	0.0120628
Locus193	111206	0.3	0.043515	0.0218116	0.299952	0.0184936	0.0250214	0.0108788	0.0109328
Locus254	142725	0.62	0.0228457	0.0287103	-0.0992323	0.0124058	0.01044	0.0138788	0.0148315
Locus260	146983	0.62	0.0231262	0.0301857	-0.115697	0.0116459	0.0114803	0.0160037	0.014182
Locus261	147650	0.38	0.0301857	0.0231262	0.115697	0.0166707	0.013515	0.0123129	0.0108133
Locus262	147932	0.38	0.0301857	0.0231262	0.115697	0.0169527	0.013233	0.0125949	0.0105313
Locus263	148451	0.38	0.0301857	0.0231262	0.115697	0.0174717	0.012714	0.0131139	0.0100123
Locus264	149177	0.38	0.0301857	0.0231262	0.115697	0.0181977	0.011988	0.0138399	0.0092863
Locus265	149492	0.62	0.0231262	0.0301857	-0.115697	0.0141549	0.0089713	0.0185127	0.011673
Locus266	150176	0.62	0.0231262	0.0301857	-0.115697	0.0148389	0.0082873	0.0191967	0.0109889
Locus267	150232	0.38	0.0301857	0.0231262	0.115697	0.0192527	0.0109329	0.0148949	0.0082313
Locus268	150852	0.54	0.0257097	0.0258815	-0.00289101	0.0165331	0.00917666	0.0139356	0.0119459
Locus269	150970	0.46	0.0258815	0.0257097	0.00289101	0.0140536	0.0118279	0.0166511	0.00905866
Locus270	151239	0.42	0.0285448	0.0243907	0.0683031	0.0150385	0.0135063	0.0148679	0.00952283
Locus271	151403	0.42	0.0285448	0.0243907	0.0683031	0.0152025	0.0133423	0.0150319	0.00935883
Locus275	153366	0.3	0.033898	0.0179589	0.275894	0.0206647	0.0132333	0.0109872	0.00697173
Locus278	153756	0.32	0.0344642	0.0155222	0.346416	0.0161697	0.0182945	0.00647432	0.00904783
Locus280	154913	0.4	0.0273829	0.0211431	0.112311	0.0142547	0.0131282	0.008696	0.0124471
Locus282	155192	0.6	0.0211431	0.0273829	-0.112311	0.008975	0.0121681	0.0145337	0.0128492
Locus283	155377	0.18	0.0605469	0.0150284	0.60518	0.0262498	0.034297	0.00618693	0.00884144
Locus306	166305	0.18	0.0595584	0.0143522	0.618026	0.0108526	0.0487058	0.00746578	0.00688637
Locus308	167112	0.22	0.106674	0.0149208	0.854265	0.0140947	0.0925792	0.00682477	0.00809606
Locus321	174771	0.54	0.0211208	0.0380098	-0.255187	0.0119402	0.00918055	0.013113	0.0248968
Locus324	175835	0.44	0.0410548	0.0190849	0.332673	0.0149519	0.0261029	0.0112217	0.00786327
Locus328	177806	0.52	0.0239608	0.0354489	-0.170101	0.0127406	0.0112202	0.0143464	0.0211025
Locus329	178341	0.38	0.0460335	0.018728	0.390584	0.0166998	0.0293338	0.0104401	0.00828787
Locus330	178963	0.38	0.0460335	0.018728	0.390584	0.0173218	0.0287118	0.0110621	0.00766587
