pos gpos p1 ihh1 p2 ihh2 xpehh
Locus0	400	0.000400002	0	0.00265888	0.008	0.00195208	0.309008
Locus1	401	0.000401002	0.072	0.00265881	0.288	0.00197527	0.297177
Locus2	402	0.000402002	0	0.00279764	0.008	0.0023585	0.170748
Locus3	800	0.000800003	0	0.00282594	0.008	0.00244593	0.144415
Locus4	801	0.000801003	0.424	0.00271105	0.328	0.00242843	0.110088
Locus5	802	0.000802003	0.024	0.00315055	0	0.00294212	0.0684454
Locus6	1200	0.0012	0.104	0.00322642	0.104	0.00292114	0.0993984
Locus7	1600	0.00160001	0.032	0.00335156	0	0.00311288	0.0738777
Locus8	1601	0.00160101	0	0.0034828	0.008	0.00309689	0.117438
Locus9	1602	0.00160201	0	0.0035054	0.104	0.00298256	0.161521
Locus10	2000	0.00200001	0	0.00352811	0.024	0.00334292	0.0539186
Locus11	2001	0.00200101	0.008	0.00350695	0	0.00342051	0.024957
Locus12	2002	0.00200201	0.504	0.00303341	0.384	0.00295749	0.025347
Locus13	2400	0.00240001	0.104	0.00343613	0	0.00355694	-0.0345554
Locus14	2401	0.00240101	0	0.00385529	0.008	0.00360992	0.0657589
Locus15	2800	0.00280001	0.056	0.0037688	0.136	0.00342537	0.0955486
Locus16	3200	0.00320001	0.32	0.00351014	0.184	0.003674	-0.0456258
Locus17	3201	0.00320101	0	0.00368562	0.008	0.00382894	-0.038149
Locus18	4000	0.00400002	0.32	0.00355835	0.176	0.00381919	-0.0707416
Locus19	4001	0.00400102	0.392	0.00371983	0.512	0.00423245	-0.129102
Locus20	4002	0.00400202	0	0.00390904	0.088	0.00418573	-0.0683914
Locus21	4400	0.00440002	0.016	0.00384162	0	0.00449224	-0.156458
Locus22	4401	0.00440102	0.608	0.00379897	0.488	0.00437692	-0.141614
Locus23	4800	0.00480002	0.424	0.00390524	0.384	0.00448068	-0.137454
Locus24	6400	0.00640005	0	0.00446096	0.008	0.00482884	-0.0792418
Locus25	6401	0.00640105	0.472	0.00391445	0.384	0.00449116	-0.137435
Locus26	6800	0.00680005	0	0.00401538	0.008	0.00455407	-0.125891
Locus27	6801	0.00680105	0.072	0.00376012	0	0.00458931	-0.199279
Locus28	6802	0.00680205	0.472	0.00416277	0.384	0.00465588	-0.111948
Locus29	7200	0.00720005	0.424	0.00419032	0.512	0.00447995	-0.0668336
Locus30	7600	0.00760005	0.008	0.00550827	0	0.00506507	0.0838809
Locus31	8400	0.00840006	0.224	0.00471121	0.368	0.00468482	0.00561828
Locus32	8401	0.00840106	0	0.00502671	0.016	0.0051719	-0.0284754
Locus33	8402	0.00840206	0.056	0.0048763	0	0.00524738	-0.0733435
Locus34	9200	0.00920007	0	0.00494014	0.008	0.00519382	-0.050077
Locus35	9600	0.00960007	0.056	0.0048763	0.144	0.0045858	0.0614207
Locus36	9601	0.00960107	0.776	0.00471047	0.632	0.00440076	0.0680118
Locus37	10000	0.0100001	0.776	0.00471047	0.632	0.00440076	0.0680118
Locus38	10400	0.0104001	0.024	0.00464992	0	0.0044956	0.0337514
Locus39	10401	0.0104011	0.128	0.0040295	0	0.0044956	-0.109457
Locus40	10402	0.0104021	0	0.0050285	0.088	0.00450621	0.109665
Locus41	10403	0.0104031	0.224	0.00501593	0.368	0.00470233	0.0645609
Locus42	10800	0.0108001	0.016	0.00532963	0.104	0.00448123	0.173385
Locus43	10801	0.0108011	0.016	0.00530404	0.2	0.0037752	0.340016
Locus44	11200	0.0112001	0.688	0.0048914	0.632	0.00428404	0.132582
Locus45	11600	0.0116001	0.312	0.0048914	0.368	0.00428404	0.132582
Locus46	11601	0.0116011	0.688	0.0048914	0.632	0.00428404	0.132582
Locus47	11602	0.0116021	0.04	0.00495586	0.016	0.00445418	0.106728
Locus48	12400	0.0124001	0.688	0.00486809	0.616	0.00422775	0.141032
Locus49	12401	0.0124011	0.224	0.00442592	0.016	0.00465102	-0.0496085
Locus50	12402	0.0124021	0	0.00477602	0.008	0.00464775	0.0272252
Locus51	12800	0.0128001	0	0.00477613	0.008	0.00465119	0.0265075
Locus52	13200	0.0132001	0	0.00477599	0.088	0.00416735	0.13632
Locus53	13201	0.0132011	0	0.00477599	0.144	0.00413098	0.145086
Locus54	13600	0.0136001	0.224	0.00479194	0.016	0.00478465	0.00152041
Locus55	13601	0.0136011	0.592	0.00432159	0.56	0.00413349	0.0445023
Locus56	14000	0.0140001	0.592	0.00432159	0.56	0.00413349	0.0445023
Locus57	14001	0.0140011	0.312	0.00417523	0.392	0.00406079	0.0277924
Locus58	14400	0.0144001	0.008	0.00440346	0	0.00438919	0.00324575
Locus59	14800	0.0148001	0.28	0.00425517	0.168	0.0042468	0.00196811
Locus60	14801	0.0148011	0.064	0.00441957	0.016	0.00450791	-0.0197909
Locus61	15200	0.0152001	0.408	0.0044946	0.44	0.00430291	0.0435848
Locus62	15201	0.0152011	0.696	0.00435229	0.56	0.00423229	0.0279594
